# Constellation Arabic Engine — M5 regression corpus.
#
# This file is the authoritative snapshot of the analyzer's expected
# behaviour across ~500 representative surfaces. Loaded via `include_str!`
# at compile time; parsed and run by the harness in `regression.rs`.
#
# Why it exists:
#   The unit tests in `mod.rs::tests` cover flagship cases (وائل,
#   الأئمة, الكاتب). This corpus is the broader safety net — a change
#   that silently alters analyzer behaviour on one narrow pattern shows
#   up as concrete failing rows, not as an end-user complaint months
#   later.
#
# Format (four TAB-separated columns):
#
#   surface  origin  lemma  root
#
# Where:
#   surface  — the raw input passed to `arabic::analyze_best`.
#   origin   — one of:
#                protected  → hit the protected list (Layer 2).
#                generative → hit the generative FST (Layer 3 or 3b).
#                heuristic  → fell through to the low-confidence
#                             Layer 4 fallback.
#                foreign    → non-Arabic script, routed via Layer 1 +
#                             Layer 4 with Foreign POS. Mapped to
#                             SurfaceHeuristic internally.
#   lemma    — expected `Analysis.lemma`, or `-` to skip the assertion.
#              Use `-` for ambiguous generative hits where the top
#              analysis is not stable across refactors.
#   root     — expected `Analysis.root` hyphen-joined (e.g. `ك-ت-ب`),
#              or `-` for root-less origins (protected, foreign) or
#              where the specific root is not being asserted.
#
# Scoring policy:
#   The corpus is pass/fail; there is no confidence-threshold knob.
#   If a case starts failing, either the analyzer regressed (bug) or
#   the row needs an updated expectation (drift). Either way, a human
#   reviews it — silent drift is the whole failure mode the corpus
#   exists to prevent.
#
# Maintenance:
#   - Append new cases at the bottom of the relevant section.
#   - When the analyzer's behaviour intentionally changes (e.g. a new
#     affix is added), update the affected rows in the same commit that
#     ships the change.
#   - Never delete a case without documenting why in the commit message.

# ──────────────────────────────────────────────────────────────────────
# § 1 — Protected layer. Hash-lookup on the tashkeel-stripped surface.
# All 250 rows below are drawn from `protected_seed.tsv` (~1,200 total
# entries; sampled here across all four categories).
# ──────────────────────────────────────────────────────────────────────

# ── § 1.1 — Protected: proper nouns (80) ──────────────────────────────

وائل	protected	وائل	-
محمد	protected	محمد	-
أحمد	protected	أحمد	-
علي	protected	علي	-
عمر	protected	عمر	-
عثمان	protected	عثمان	-
يوسف	protected	يوسف	-
إبراهيم	protected	إبراهيم	-
إسماعيل	protected	إسماعيل	-
موسى	protected	موسى	-
عيسى	protected	عيسى	-
يعقوب	protected	يعقوب	-
داود	protected	داود	-
سليمان	protected	سليمان	-
خالد	protected	خالد	-
حسن	protected	حسن	-
حسين	protected	حسين	-
عبدالله	protected	عبدالله	-
عبدالرحمن	protected	عبدالرحمن	-
طارق	protected	طارق	-
ياسر	protected	ياسر	-
سامي	protected	سامي	-
ماجد	protected	ماجد	-
فيصل	protected	فيصل	-
بدر	protected	بدر	-
أسامة	protected	أسامة	-
أنس	protected	أنس	-
زياد	protected	زياد	-
رائد	protected	رائد	-
صالح	protected	صالح	-
مازن	protected	مازن	-
نبيل	protected	نبيل	-
عبدالعزيز	protected	عبدالعزيز	-
عبدالكريم	protected	عبدالكريم	-
عبدالمجيد	protected	عبدالمجيد	-
عبدالمنعم	protected	عبدالمنعم	-
عبدالسلام	protected	عبدالسلام	-
عبدالهادي	protected	عبدالهادي	-
عبدالقادر	protected	عبدالقادر	-
عبدالباسط	protected	عبدالباسط	-
عبدالحكيم	protected	عبدالحكيم	-
عبدالناصر	protected	عبدالناصر	-
عبدالوهاب	protected	عبدالوهاب	-
عبدالغني	protected	عبدالغني	-
عبدالفتاح	protected	عبدالفتاح	-
كريم	protected	كريم	-
جمال	protected	جمال	-
مصطفى	protected	مصطفى	-
صلاح	protected	صلاح	-
هاني	protected	هاني	-
مروان	protected	مروان	-
رشيد	protected	رشيد	-
بلال	protected	بلال	-
أيمن	protected	أيمن	-
طلال	protected	طلال	-
غسان	protected	غسان	-
رفيق	protected	رفيق	-
فؤاد	protected	فؤاد	-
نزار	protected	نزار	-
نسيم	protected	نسيم	-
حمدي	protected	حمدي	-
